t_env,check_count,update_count,groups_updated,num_moved,num_groups,group_sizes,current_groups,silhouette_score,n_clusters_chosen,latency_ms,rejection_reason,stability_threshold,group_diversity_so_far
5005,1,1,True,3,3,"[1, 1, 1]","[[2], [0], [1]]",0.622603,3,34.662,first_init,0.6,1
10011,2,2,True,2,2,"[1, 2]","[[0], [1, 2]]",0.63309723,3,27.667,updated,0.6,2
15014,3,2,False,0,2,"[2, 1]","[[1, 2], [0]]",0.67448616,3,26.5,same_group,0.6,2
20036,4,3,True,3,1,[3],"[[0, 1, 2]]",0.6860805,3,27.677,updated,0.6,3
25054,5,4,True,3,2,"[2, 1]","[[0, 1], [2]]",0.66745865,3,28.183,updated,0.6,4
30070,6,5,True,3,2,"[1, 2]","[[0], [1, 2]]",0.7343223,3,27.293,updated,0.6,4
35086,7,6,True,2,3,"[1, 1, 1]","[[1], [0], [2]]",0.75038373,3,26.453,updated,0.6,4
40104,8,7,True,2,2,"[2, 1]","[[0, 1], [2]]",0.60077107,3,33.245,updated,0.6,4
45123,9,7,False,0,2,"[2, 1]","[[0, 1], [2]]",0.7309278,3,25.375,same_group,0.6,4
50133,10,8,True,3,2,"[2, 1]","[[0, 2], [1]]",0.64580494,3,26.379,updated,0.6,5
55137,11,9,True,2,3,"[1, 1, 1]","[[1], [0], [2]]",0.7999887,3,26.298,updated,0.6,5
60140,12,10,True,2,2,"[2, 1]","[[0, 1], [2]]",0.6623721,3,26.292,updated,0.6,5
665153,13,11,True,3,1,[3],"[[0, 1, 2]]",0.80764025,3,26.287,updated,0.6,5
70158,14,12,True,3,2,"[2, 1]","[[0, 1], [2]]",0.6244671,3,26.116,updated,0.6,5
75168,15,13,True,2,3,"[1, 1, 1]","[[1], [2], [0]]",0.79146075,3,26.516,updated,0.6,5
80175,16,13,False,0,3,"[1, 1, 1]","[[0], [1], [2]]",0.7371921,3,25.729,same_group,0.6,5
85184,17,14,True,2,2,"[1, 2]","[[0], [1, 2]]",0.75662094,3,26.535,updated,0.6,5
90192,18,15,True,3,1,[3],"[[0, 1, 2]]",0.7192998,3,37.046,updated,0.6,5
95196,19,16,True,3,2,"[2, 1]","[[1, 2], [0]]",0.7434163,3,26.567,updated,0.6,5
ed,0.6,5
