t_env,check_count,update_count,groups_updated,num_moved,num_groups,group_sizes,current_groups,silhouette_score,n_clusters_chosen,latency_ms,rejection_reason,stability_threshold,group_diversity_so_far
5019,1,1,True,5,3,"[3, 1, 1]","[[0, 1, 4], [3], [2]]",0.22508973,3,746.282,first_init,0.6,1
10039,2,2,True,4,3,"[1, 3, 1]","[[0], [1, 2, 4], [3]]",0.224161,3,30.039,updated,0.6,2
15054,3,3,True,5,2,"[1, 4]","[[2], [0, 1, 3, 4]]",0.23182172,2,35.849,updated,0.6,3
20063,4,4,True,5,2,"[4, 1]","[[0, 1, 2, 3], [4]]",0.21841796,3,36.779,updated,0.6,4
25065,5,5,True,5,2,"[1, 4]","[[1], [0, 2, 3, 4]]",0.23122433,2,35.977,updated,0.6,5
30076,6,6,True,5,2,"[4, 1]","[[0, 1, 2, 3], [4]]",0.23949707,3,30.405,updated,0.6,5
35090,7,7,True,5,3,"[2, 2, 1]","[[1, 2], [0, 4], [3]]",0.26522103,3,32.19,updated,0.6,6
40101,8,8,True,3,2,"[3, 2]","[[0, 3, 4], [1, 2]]",0.2220124,3,44.545,updated,0.6,7
45119,9,9,True,5,3,"[1, 2, 2]","[[0], [2, 3], [1, 4]]",0.26725775,3,38.332,updated,0.6,8
50134,10,10,True,5,2,"[2, 3]","[[0, 4], [1, 2, 3]]",0.23079462,2,33.46,updated,0.6,9
55141,11,11,True,5,2,"[1, 4]","[[3], [0, 1, 2, 4]]",0.21107426,3,31.398,updated,0.6,10
60144,12,12,True,5,3,"[2, 2, 1]","[[3, 4], [1, 2], [0]]",0.22857195,3,32.778,updated,0.6,11
65212,13,13,True,5,2,"[4, 1]","[[0, 2, 3, 4], [1]]",0.24144296,3,35.267,updated,0.6,11
70218,14,14,True,5,3,"[2, 2, 1]","[[0, 1], [3, 4], [2]]",0.1580646,3,32.013,updated,0.6,12
